Company,Facility,Total Stationary Combusion,Total Industrial Process,Total Flaring,Total Venting,Total Fugitive,Total On-site Transportation,Total Waste,Total Wastewater,Total Combined Industrial Process and Stationary Combustion,Total Emissions (tonnes CO2e)
Canadian Natural Resources Limited,Adsett Comp Stn D-053-G,"16,354 ",0 ,144 ,"2,373 ","2,787 ",0 ,0 ,0 ,0 ,"21,658 "
Canadian Natural Resources Limited,Babcock Comp Stn D-099-E,"10,048 ",0 ,45 ,5 ,"1,975 ",0 ,0 ,0 ,0 ,"12,073 "
Canadian Natural Resources Limited,Buick South Comp Stn D-078-I,"11,174 ",0 ,0 ,2 ,"2,770 ",0 ,0 ,0 ,0 ,"13,945 "
Canadian Natural Resources Limited,Cypress B-099-C Sour Gas Plant,"10,244 ",0 ,"4,175 ","3,639 ",811 ,0 ,0 ,0 ,0 ,"18,869 "
Canadian Natural Resources Limited,Graham Comp Stn C-076-K,"11,289 ",0 ,63 ,80 ,"3,145 ",0 ,0 ,0 ,0 ,"14,577 "
Canadian Natural Resources Limited,Helmet North Comp Stn A-013-F,"9,501 ",0 ,0 ,0 ,"1,773 ",0 ,0 ,0 ,0 ,"11,274 "
Canadian Natural Resources Limited,Jedney Comp Stn A-062-E,"12,159 ",0 ,48 ,270 ,"3,281 ",0 ,0 ,0 ,0 ,"15,758 "
Canadian Natural Resources Limited,July Lake Comp Stn A-071-G,"20,720 ",0 ,0 ,861 ,"2,365 ",0 ,0 ,0 ,0 ,"23,945 "
Canadian Natural Resources Limited,Kimea Comp Stn D-031-D,"8,703 ",0 ,"1,817 ",846 ,"1,227 ",0 ,0 ,0 ,0 ,"12,593 "
Canadian Natural Resources Limited,Ladyfern B-017-I Gas Plant,"22,783 ",0 ,"2,305 ",266 ,"5,107 ",0 ,0 ,0 ,0 ,"30,462 "
Canadian Natural Resources Limited,Ladyfern B-047-H Gas Plant,"7,928 ",0 ,389 ,378 ,"2,744 ",0 ,0 ,0 ,0 ,"11,439 "
Canadian Natural Resources Limited,Ladyfern Comp Stn B-088-H,"11,165 ",0 ,0 ,154 ,"4,877 ",0 ,0 ,0 ,0 ,"16,196 "
Canadian Natural Resources Limited,Murray River Comp Stn C-033-J,"26,079 ",0 ,671 ,0 ,"3,239 ",0 ,0 ,0 ,0 ,"29,989 "
Canadian Natural Resources Limited,Osprey Comp Stn A-003-J,"7,216 ",0 ,0 ,78 ,"3,020 ",0 ,0 ,0 ,0 ,"10,314 "
Canadian Natural Resources Limited,Stoddart 02-34 Sour Gas Plant,"57,894 ",0 ,"7,685 ",0 ,"3,787 ",0 ,0 ,0 ,0 ,"69,367 "
Canadian Natural Resources Limited,Velma B-088-D/94-H-8,"7,870 ",0 ,153 ,145 ,"2,679 ",0 ,0 ,0 ,0 ,"10,846 "
Canadian Natural Resources Limited,"BC Aggregated Facilities (E < 10,000 tCO2e each)","391,746 ",0 ,"37,050 ","85,478 ","214,388 ",0 ,0 ,0 ,0 ,"728,662 "
Canexus Chemicals Canada Limited Partnership,North Vancouver Chlor-alkali Facility,"17,485 ",0 ,0 ,0 ,0 ,119 ,121 ,0 ,0 ,"17,724 "
Canfor Pulp Limited Partnership,Northwood Pulp Mill,"118,885 ",0 ,0 ,0 ,0 ,"2,746 ",0 ,521 ,0 ,"122,152 "
Canfor Pulp Limited Partnership,Prince George Pulp and Paper and Intercontinental Pulp Mills,"106,469 ",0 ,0 ,0 ,239 ,"3,165 ",0 ,"1,435 ",0 ,"111,308 "
Cariboo Pulp and Paper Company,Cariboo Pulp and Paper Facility,"77,967 ",123 ,0 ,0 ,0 ,"2,442 ",0 ,290 ,0 ,"80,822 "
Catalyst Paper Corporation,Crofton Division,"98,021 ",31 ,0 ,0 ,0 ,"3,238 ","30,437 ",76 ,0 ,"131,803 "
Catalyst Paper Corporation,Port Alberni Division,"38,111 ",0 ,0 ,0 ,0 ,"1,076 ",0 ,110 ,0 ,"39,297 "
Catalyst Paper Corporation,Powell River Division,"29,445 ",0 ,0 ,0 ,0 ,"1,109 ",0 ,80 ,0 ,"30,634 "
Central Global Resources ULC,Pickell Facility,"5,761 ",0 ,"1,041 ","3,605 ","1,405 ",0 ,0 ,0 ,0 ,"11,813 "
Central Global Resources ULC,"BC Aggregated Facilities (E < 10,000 tCO2e each)","1,127 ",0 ,"1,582 ","1,924 ","1,717 ",0 ,0 ,0 ,0 ,"6,350 "
Central Heat Distribution Limited,Central Heat Distribution Facility,"88,706 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"88,706 "
