Facility,Company.x,Total.Stationary.Combusion.2010,diff.11.10,Total.Stationary.Combusion.2011,diff.12.11,Total.Stationary.Combusion.2012,diff.12.10
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,17792,17864,-17864,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,17555,17627,-17627,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,14810,14882,-14882,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,1447,1519,-1519,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,14335,14407,-14407,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,14234,14306,-14306,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,1416,1488,-1488,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,13909,13981,-13981,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,12627,12699,-12699,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,122695,122767,-122767,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,113578,113650,-113650,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,#VALUE!, -   ,#VALUE!,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,#VALUE!, -   ,#VALUE!,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,#VALUE!, -   ,#VALUE!,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,#VALUE!, -   ,#VALUE!,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,-51,21,-21,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Enerplus Corporation,72,-11,61,-61,0,-72
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,9831,9905,-9905,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,929,1003,-1003,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,8342,8416,-8416,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,8067,8141,-8141,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,7152,7226,-7226,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,7065,7139,-7139,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,70276,70350,-70350,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,6244,6318,-6318,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,58699,58773,-58773,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,4731,4805,-4805,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,40962,41036,-41036,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,398005,398079,-398079,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,34510,34584,-34584,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,34451,34525,-34525,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,33564,33638,-33638,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,3326,3400,-3400,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,326,400,-400,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,30895,30969,-30969,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,28599,28673,-28673,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,27905,27979,-27979,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,26469,26543,-26543,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,26250,26324,-26324,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,2411,2485,-2485,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,2010,2084,-2084,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,19728,19802,-19802,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,193388,193462,-193462,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,17790,17864,-17864,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,17553,17627,-17627,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,14808,14882,-14882,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,1445,1519,-1519,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,14333,14407,-14407,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,14232,14306,-14306,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,1414,1488,-1488,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,13907,13981,-13981,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,12625,12699,-12699,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,122693,122767,-122767,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,113576,113650,-113650,0,-74
"BC Aggregated Facilities (E < 10,000 tCO2e each)",TransCanada PipeLines Ltd.,74,#VALUE!, -   ,#VALUE!,0,-74
