Facility,Company.x,Total.Stationary.Combusion.2010,diff.11.10,Total.Stationary.Combusion.2011,diff.12.11,Total.Stationary.Combusion.2012,diff.12.10
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Penn West Petroleum,26418,-23933,2485,-2485,0,-26418
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Penn West Petroleum,26418,-23018,3400,-3400,0,-26418
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Penn West Petroleum,26418,-21613,4805,-4805,0,-26418
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Penn West Petroleum,26418,-20100,6318,-6318,0,-26418
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Penn West Petroleum,26418,-19279,7139,-7139,0,-26418
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Penn West Petroleum,26418,-19192,7226,-7226,0,-26418
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Penn West Petroleum,26418,-18277,8141,-8141,0,-26418
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Penn West Petroleum,26418,-18002,8416,-8416,0,-26418
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Penn West Petroleum,26418,-16513,9905,-9905,0,-26418
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Penn West Petroleum,26418,-13719,12699,-12699,0,-26418
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Penn West Petroleum,26418,-12437,13981,-13981,0,-26418
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Penn West Petroleum,26418,-12112,14306,-14306,0,-26418
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Penn West Petroleum,26418,-12011,14407,-14407,0,-26418
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Penn West Petroleum,26418,-11536,14882,-14882,0,-26418
ANG Elko Facility,TransCanada PipeLines Ltd.,26709,-17848,8861,-8861,0,-26709
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,95543,122767,-122767,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,86426,113650,-113650,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,755,27979,-27979,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,7360,34584,-34584,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,7301,34525,-34525,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,6414,33638,-33638,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,43126,70350,-70350,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,3745,30969,-30969,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,370855,398079,-398079,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,31549,58773,-58773,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,166238,193462,-193462,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,1449,28673,-28673,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,13812,41036,-41036,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,#VALUE!, -   ,#VALUE!,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,#VALUE!, -   ,#VALUE!,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,#VALUE!, -   ,#VALUE!,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,#VALUE!, -   ,#VALUE!,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,-9597,17627,-17627,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,-9360,17864,-17864,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,-900,26324,-26324,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,-7422,19802,-19802,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,-681,26543,-26543,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,-27203,21,-21,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,-27163,61,-61,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,-26824,400,-400,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,-26221,1003,-1003,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,-25736,1488,-1488,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,-25705,1519,-1519,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,-25140,2084,-2084,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,-24739,2485,-2485,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,-23824,3400,-3400,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,-22419,4805,-4805,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,-20906,6318,-6318,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,-20085,7139,-7139,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,-19998,7226,-7226,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,-19083,8141,-8141,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,-18808,8416,-8416,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,-17319,9905,-9905,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,-14525,12699,-12699,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,-13243,13981,-13981,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,-12918,14306,-14306,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,-12817,14407,-14407,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pengrowth Energy Corporation,27224,-12342,14882,-14882,0,-27224
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,95147,122767,-122767,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,86030,113650,-113650,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,6964,34584,-34584,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,6905,34525,-34525,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,6018,33638,-33638,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,42730,70350,-70350,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,370459,398079,-398079,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,359,27979,-27979,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,3349,30969,-30969,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,31153,58773,-58773,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,165842,193462,-193462,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,13416,41036,-41036,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,1053,28673,-28673,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,#VALUE!, -   ,#VALUE!,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,#VALUE!, -   ,#VALUE!,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,#VALUE!, -   ,#VALUE!,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,#VALUE!, -   ,#VALUE!,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,-9993,17627,-17627,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,-9756,17864,-17864,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,-7818,19802,-19802,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,-27599,21,-21,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,-27559,61,-61,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,-27220,400,-400,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,-26617,1003,-1003,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,-26132,1488,-1488,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,-26101,1519,-1519,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,-25536,2084,-2084,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,-25135,2485,-2485,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,-24220,3400,-3400,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,-22815,4805,-4805,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,-21302,6318,-6318,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,-20481,7139,-7139,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,-20394,7226,-7226,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,-19479,8141,-8141,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,-19204,8416,-8416,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,-17715,9905,-9905,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,-14921,12699,-12699,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,-13639,13981,-13981,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,-13314,14306,-14306,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,-13213,14407,-14407,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,-1296,26324,-26324,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,-12738,14882,-14882,0,-27620
"BC Aggregated Facilities (E < 10,000 tCO2e each)",EOG Resources Canada Inc.,27620,-1077,26543,-26543,0,-27620
Gunnell Comp Stn B-023-F,EnCana Corporation,44461,-13803,30658,-14018,16640,-27821
Yoyo Battery (D-8-L/94-I-14),Suncor Energy Inc.,29648,-29648,0,0,0,-29648
Horn River Drillings and Completions,Apache Canada Ltd.,29662,-18810,10852,-10852,0,-29662
Dawson Sour Gas Plant 05-35,ARC Resources,41215,-27709,13506,-2824,10682,-30533
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,92087,122767,-122767,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,82970,113650,-113650,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,39670,70350,-70350,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,3904,34584,-34584,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,3845,34525,-34525,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,367399,398079,-398079,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,2958,33638,-33638,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,289,30969,-30969,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,28093,58773,-58773,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,162782,193462,-193462,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,10356,41036,-41036,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,#VALUE!, -   ,#VALUE!,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,#VALUE!, -   ,#VALUE!,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,#VALUE!, -   ,#VALUE!,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,#VALUE!, -   ,#VALUE!,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,-4356,26324,-26324,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,-4137,26543,-26543,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,-30659,21,-21,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,-30619,61,-61,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,-30280,400,-400,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,-29677,1003,-1003,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,-29192,1488,-1488,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,-29161,1519,-1519,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,-28596,2084,-2084,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,-28195,2485,-2485,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,-27280,3400,-3400,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,-2701,27979,-27979,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,-25875,4805,-4805,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,-24362,6318,-6318,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,-23541,7139,-7139,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,-23454,7226,-7226,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,-22539,8141,-8141,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,-22264,8416,-8416,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,-20775,9905,-9905,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,-2007,28673,-28673,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,-17981,12699,-12699,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,-16699,13981,-13981,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,-16374,14306,-14306,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,-16273,14407,-14407,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,-15798,14882,-14882,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,-13053,17627,-17627,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,-12816,17864,-17864,0,-30680
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Terra Energy Corporation,30680,-10878,19802,-19802,0,-30680
Fort Nelson Generating Station,British Columbia Hydro and Power Authority,160556,-39279,121277,7002,128279,-32277
BC Linear Facilities Operation (LFO),Aitken Creek Gas Storage ULC,32860,-32860,0,0,0,-32860
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,85721,122767,-122767,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,76604,113650,-113650,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,3990,41036,-41036,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,361033,398079,-398079,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,33304,70350,-70350,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,21727,58773,-58773,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,156416,193462,-193462,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,#VALUE!, -   ,#VALUE!,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,#VALUE!, -   ,#VALUE!,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,#VALUE!, -   ,#VALUE!,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,#VALUE!, -   ,#VALUE!,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,-9067,27979,-27979,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,-8373,28673,-28673,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,-6077,30969,-30969,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,-37025,21,-21,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,-36985,61,-61,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,-36646,400,-400,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,-36043,1003,-1003,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,-35558,1488,-1488,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,-35527,1519,-1519,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,-34962,2084,-2084,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,-34561,2485,-2485,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,-3408,33638,-33638,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,-33646,3400,-3400,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,-32241,4805,-4805,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,-30728,6318,-6318,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,-29907,7139,-7139,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,-29820,7226,-7226,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,-28905,8141,-8141,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,-28630,8416,-8416,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,-27141,9905,-9905,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,-2521,34525,-34525,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,-2462,34584,-34584,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,-24347,12699,-12699,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,-23065,13981,-13981,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,-22740,14306,-14306,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,-22639,14407,-14407,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,-22164,14882,-14882,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,-19419,17627,-17627,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,-19182,17864,-17864,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,-17244,19802,-19802,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,-10722,26324,-26324,0,-37046
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Suncor Energy Inc.,37046,-10503,26543,-26543,0,-37046
BC Linear Facilities Operation (LFO),Keyera Corp.,44621,-44621,0,0,0,-44621
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,77110,122767,-122767,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,67993,113650,-113650,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,352422,398079,-398079,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,24693,70350,-70350,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,147805,193462,-193462,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,13116,58773,-58773,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,#VALUE!, -   ,#VALUE!,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,#VALUE!, -   ,#VALUE!,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,#VALUE!, -   ,#VALUE!,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,#VALUE!, -   ,#VALUE!,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,-4621,41036,-41036,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,-45636,21,-21,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,-45596,61,-61,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,-45257,400,-400,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,-44654,1003,-1003,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,-44169,1488,-1488,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,-44138,1519,-1519,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,-43573,2084,-2084,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,-43172,2485,-2485,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,-42257,3400,-3400,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,-40852,4805,-4805,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,-39339,6318,-6318,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,-38518,7139,-7139,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,-38431,7226,-7226,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,-37516,8141,-8141,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,-37241,8416,-8416,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,-35752,9905,-9905,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,-32958,12699,-12699,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,-31676,13981,-13981,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,-31351,14306,-14306,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,-31250,14407,-14407,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,-30775,14882,-14882,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,-28030,17627,-17627,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,-27793,17864,-17864,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,-25855,19802,-19802,0,-45657
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Bonavista Energy Corporation,45657,-19333,26324,-26324,0,-45657
