Facility,Company.x,Total.Industrial.Process.2010,Total.Flaring.2010,Total.Venting.2010,Total.Fugitive.2010,Total.On.site.Transportation.2010,Total.Waste.2010,Total.Wastewater.2010,Total.untaxed.2010,Total.Industrial.Process.2011,Total.Flaring.2011,Total.Venting.2011,Total.Fugitive.2011,Total.On.site.Transportation.2011,Total.Waste.2011,Total.Wastewater.2011,Total.untaxed.2011,Total.Industrial.Process.2012,Total.Flaring.2012,Total.Venting.2012,Total.Fugitive.2012,Total.On.site.Transportation.2012,Total.Waste.2012,Total.Wastewater.2012,Total.untaxed.2012
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,0,0,2034,7497,0,0,0,9531, -   ,1898,12945,20444, -   , -   , -   ,35287,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,0,0,2034,7497,0,0,0,9531, -   ,2662,1566,1292, -   , -   , -   ,5520,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,0,0,2034,7497,0,0,0,9531, -   , -   , -   ,1311, -   , -   , -   ,1311,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,0,0,2034,7497,0,0,0,9531, -   ,34119,22384,13843, -   , -   , -   ,70346,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,0,0,2034,7497,0,0,0,9531, -   ,24, -   ,702, -   , -   , -   ,726,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,0,0,2034,7497,0,0,0,9531, -   ,4162,3370,14438, -   , -   , -   ,21970,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,0,0,2034,7497,0,0,0,9531, -   ,5781,98255,84183, -   , -   , -   ,188219,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,0,0,2034,7497,0,0,0,9531, -   ,22252,4043,456, -   , -   , -   ,26751,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,0,0,2034,7497,0,0,0,9531, -   ,2454,4504,4804, -   , -   , -   ,11762,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,0,0,2034,7497,0,0,0,9531, -   , -   ,22,567, -   , -   , -   ,589,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,0,0,2034,7497,0,0,0,9531, -   ,6118, -   ,1151, -   , -   , -   ,7269,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,0,0,2034,7497,0,0,0,9531, -   ,2617,6462,16537, -   , -   , -   ,25616,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,0,0,2034,7497,0,0,0,9531, -   ,2176,10400,14379, -   , -   , -   ,26955,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,0,0,2034,7497,0,0,0,9531, -   ,10293,2418,6518, -   , -   , -   ,19229,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,0,0,2034,7497,0,0,0,9531, -   ,1684,10,334, -   , -   , -   ,2028,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,0,0,2034,7497,0,0,0,9531, -   ,2547,7039,6792, -   , -   , -   ,16378,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,0,0,2034,7497,0,0,0,9531, -   ,10808,16835,18303, -   , -   , -   ,45946,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,0,0,2034,7497,0,0,0,9531, -   ,1504, -   ,550, -   , -   , -   ,2054,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,0,0,2034,7497,0,0,0,9531, -   ,1260,4232,1678, -   , -   , -   ,7170,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,0,0,2034,7497,0,0,0,9531, -   ,1006,9255,16013, -   , -   , -   ,26274,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,0,0,2034,7497,0,0,0,9531, -   , -   ,8152,1784, -   , -   , -   ,9936,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,0,0,2034,7497,0,0,0,9531, -   ,2756,10924,8261, -   , -   , -   ,21941,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,0,10998,1276,5927,0,0,0,18201, -   ,2547,7039,6792, -   , -   , -   ,16378,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,0,0,2034,7497,0,0,0,9531, -   ,12159,1347,3253, -   , -   , -   ,16759,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,0,0,2034,7497,0,0,0,9531, -   ,1823,1741,11794, -   , -   , -   ,15358,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,0,0,2034,7497,0,0,0,9531, -   ,24840,152515,311153, -   , -   , -   ,488508,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,0,0,2034,7497,0,0,0,9531, -   , -   , -   ,27828, -   , -   , -   ,27828,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,0,0,2034,7497,0,0,0,9531, -   ,9573,16712,16553, -   , -   , -   ,42838,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",FortisBC Energy (Vancouver Island) Inc.,0,0,2034,7497,0,0,0,9531, -   ,585,16591,12557, -   , -   , -   ,29733,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   , -   ,30,142, -   , -   , -   ,172,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   , -   ,3329,7850, -   , -   , -   ,11179,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,500,5616,6922, -   , -   , -   ,13038,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,5138,2402,3937, -   , -   , -   ,11477,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,6923,18897,16276, -   , -   , -   ,42096,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,236,5783,1127, -   , -   , -   ,7146,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,66236,101507,68734, -   , -   , -   ,236477,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,1398,19,7842, -   , -   , -   ,9259,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,11600,3061,8369, -   , -   , -   ,23030,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,170,513,1246, -   , -   , -   ,1929,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,1898,12945,20444, -   , -   , -   ,35287,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,2662,1566,1292, -   , -   , -   ,5520,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   , -   , -   ,1311, -   , -   , -   ,1311,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,34119,22384,13843, -   , -   , -   ,70346,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,24, -   ,702, -   , -   , -   ,726,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,4162,3370,14438, -   , -   , -   ,21970,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,5781,98255,84183, -   , -   , -   ,188219,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,22252,4043,456, -   , -   , -   ,26751,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,2454,4504,4804, -   , -   , -   ,11762,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   , -   ,22,567, -   , -   , -   ,589,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,6118, -   ,1151, -   , -   , -   ,7269,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,2617,6462,16537, -   , -   , -   ,25616,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,2176,10400,14379, -   , -   , -   ,26955,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,10293,2418,6518, -   , -   , -   ,19229,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,1684,10,334, -   , -   , -   ,2028,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,2547,7039,6792, -   , -   , -   ,16378,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,10808,16835,18303, -   , -   , -   ,45946,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,1504, -   ,550, -   , -   , -   ,2054,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,1260,4232,1678, -   , -   , -   ,7170,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,1006,9255,16013, -   , -   , -   ,26274,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,2078,14475,10926, -   , -   , -   ,27479,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   , -   ,8152,1784, -   , -   , -   ,9936,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,2756,10924,8261, -   , -   , -   ,21941,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,3008,4102,10677, -   , -   , -   ,17787,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   , -   ,254,1097, -   , -   , -   ,1351,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,2,13440,60541, -   , -   , -   ,73983,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,11,665,233, -   , -   , -   ,909,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,12159,1347,3253, -   , -   , -   ,16759,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,1823,1741,11794, -   , -   , -   ,15358,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,24840,152515,311153, -   , -   , -   ,488508,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   , -   , -   ,27828, -   , -   , -   ,27828,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,9573,16712,16553, -   , -   , -   ,42838,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Imperial Oil Resources,0,10053,26,4524,0,13,0,14616, -   ,585,16591,12557, -   , -   , -   ,29733,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   , -   ,30,142, -   , -   , -   ,172,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   , -   ,3329,7850, -   , -   , -   ,11179,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,500,5616,6922, -   , -   , -   ,13038,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,5138,2402,3937, -   , -   , -   ,11477,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,6923,18897,16276, -   , -   , -   ,42096,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,236,5783,1127, -   , -   , -   ,7146,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,66236,101507,68734, -   , -   , -   ,236477,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,1398,19,7842, -   , -   , -   ,9259,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,11600,3061,8369, -   , -   , -   ,23030,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,170,513,1246, -   , -   , -   ,1929,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,1898,12945,20444, -   , -   , -   ,35287,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,2662,1566,1292, -   , -   , -   ,5520,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   , -   , -   ,1311, -   , -   , -   ,1311,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,34119,22384,13843, -   , -   , -   ,70346,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,24, -   ,702, -   , -   , -   ,726,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,4162,3370,14438, -   , -   , -   ,21970,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,5781,98255,84183, -   , -   , -   ,188219,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,22252,4043,456, -   , -   , -   ,26751,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,2454,4504,4804, -   , -   , -   ,11762,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   , -   ,22,567, -   , -   , -   ,589,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,6118, -   ,1151, -   , -   , -   ,7269,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,2617,6462,16537, -   , -   , -   ,25616,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,2176,10400,14379, -   , -   , -   ,26955,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,10293,2418,6518, -   , -   , -   ,19229,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,1684,10,334, -   , -   , -   ,2028,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,2547,7039,6792, -   , -   , -   ,16378,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,10808,16835,18303, -   , -   , -   ,45946,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,1504, -   ,550, -   , -   , -   ,2054,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,1260,4232,1678, -   , -   , -   ,7170,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,1006,9255,16013, -   , -   , -   ,26274,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,2078,14475,10926, -   , -   , -   ,27479,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   , -   ,8152,1784, -   , -   , -   ,9936,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,2756,10924,8261, -   , -   , -   ,21941,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,3008,4102,10677, -   , -   , -   ,17787,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   , -   ,254,1097, -   , -   , -   ,1351,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,2,13440,60541, -   , -   , -   ,73983,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,11,665,233, -   , -   , -   ,909,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,12159,1347,3253, -   , -   , -   ,16759,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,1823,1741,11794, -   , -   , -   ,15358,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,24840,152515,311153, -   , -   , -   ,488508,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   , -   , -   ,27828, -   , -   , -   ,27828,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,9573,16712,16553, -   , -   , -   ,42838,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Pacific Northern Gas Ltd.,0,93,9630,24571,0,5588,0,39882, -   ,585,16591,12557, -   , -   , -   ,29733,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,0,10998,1276,5927,0,0,0,18201, -   , -   ,30,142, -   , -   , -   ,172,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,0,10998,1276,5927,0,0,0,18201, -   , -   ,3329,7850, -   , -   , -   ,11179,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,0,10998,1276,5927,0,0,0,18201, -   ,500,5616,6922, -   , -   , -   ,13038,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,0,10998,1276,5927,0,0,0,18201, -   ,5138,2402,3937, -   , -   , -   ,11477,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,0,10998,1276,5927,0,0,0,18201, -   ,6923,18897,16276, -   , -   , -   ,42096,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,0,10998,1276,5927,0,0,0,18201, -   ,236,5783,1127, -   , -   , -   ,7146,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,0,10998,1276,5927,0,0,0,18201, -   ,66236,101507,68734, -   , -   , -   ,236477,NA,NA,NA,NA,NA,NA,NA,0
"BC Aggregated Facilities (E < 10,000 tCO2e each)",Talisman Energy Inc.,0,10998,1276,5927,0,0,0,18201, -   ,1398,19,7842, -   , -   , -   ,9259,NA,NA,NA,NA,NA,NA,NA,0
